x_um,c,gamma,R
0.0000,1.04904518e+04,0.580382,0.000000
1.6000,1.04904518e+04,0.580382,0.000000
3.2000,1.04904518e+04,0.580382,0.000000
4.8000,1.04904518e+04,0.580382,0.000000
6.4000,1.04904518e+04,0.580382,0.000000
8.0000,1.04904518e+04,0.580382,0.000000
9.6000,1.04904518e+04,0.580382,0.000000
11.2000,1.04904518e+04,0.580382,0.000000
12.8000,1.04904518e+04,0.580382,0.000000
14.4000,1.04904518e+04,0.580382,0.000000
16.0000,1.04904518e+04,0.580382,0.000000
17.6000,1.04904518e+04,0.580382,0.000000
19.2000,1.04904518e+04,0.580382,0.000000
20.8000,1.04904518e+04,0.580382,0.000000
22.4000,1.04904518e+04,0.580382,0.000000
24.0000,1.04904518e+04,0.580382,0.000000
25.6000,1.04904518e+04,0.580382,0.000000
27.2000,1.04904518e+04,0.580382,0.000000
28.8000,1.04904518e+04,0.580382,0.000000
30.4000,1.04904518e+04,0.580382,0.000000
32.0000,1.04904518e+04,0.580382,0.000000
33.6000,1.04904518e+04,0.580382,0.000000
35.2000,1.04904518e+04,0.580382,0.000000
36.8000,1.04904518e+04,0.580382,0.000000
38.4000,1.04904518e+04,0.580382,0.000000
40.0000,1.04904518e+04,0.580382,0.000000
41.6000,1.04904518e+04,0.580382,0.000000
43.2000,1.04904518e+04,0.580382,0.000000
44.8000,1.04904518e+04,0.580382,0.000000
46.4000,1.04904518e+04,0.580382,0.000000
48.0000,1.04904518e+04,0.580382,0.000000
49.6000,1.04904518e+04,0.580382,0.000000
51.2000,1.04904518e+04,0.580382,0.000000
52.8000,1.04904519e+04,0.580382,0.000000
54.4000,1.04904519e+04,0.580382,0.000000
56.0000,1.04904519e+04,0.580382,0.000000
57.6000,1.04904519e+04,0.580382,0.000000
59.2000,1.04904519e+04,0.580382,0.000000
60.8000,1.04904520e+04,0.580382,0.000000
62.4000,1.04904520e+04,0.580382,0.000000
64.0000,1.04904521e+04,0.580382,0.000000
65.6000,1.04904522e+04,0.580382,0.000000
67.2000,1.04904523e+04,0.580382,0.000000
68.8000,1.04904524e+04,0.580382,0.000000
70.4000,1.04904526e+04,0.580382,0.000000
72.0000,1.04904528e+04,0.580382,0.000000
73.6000,1.04904530e+04,0.580382,0.000040
75.2000,1.04904534e+04,0.580382,0.000051
76.8000,1.04904538e+04,0.580382,0.000064
78.4000,1.04904543e+04,0.580382,0.000082
80.0000,1.04904550e+04,0.580382,0.000104
