x_um,c,gamma,R
0.0000,1.00002004e+04,0.599992,0.000000
1.6000,1.00002317e+04,0.599991,0.000000
3.2000,1.00002902e+04,0.599988,0.000000
4.8000,1.00003682e+04,0.599985,0.000000
6.4000,1.00004680e+04,0.599981,0.000000
8.0000,1.00005949e+04,0.599976,0.000000
9.6000,1.00007562e+04,0.599970,0.000000
11.2000,1.00009612e+04,0.599962,0.000000
12.8000,1.00012218e+04,0.599951,0.000000
14.4000,1.00015530e+04,0.599938,0.000000
16.0000,1.00019739e+04,0.599921,0.000000
17.6000,1.00025087e+04,0.599900,0.000000
19.2000,1.00031883e+04,0.599872,0.000000
20.8000,1.00040515e+04,0.599838,0.000000
22.4000,1.00051480e+04,0.599794,0.000000
24.0000,1.00065404e+04,0.599738,0.000000
25.6000,1.00083080e+04,0.599668,0.000000
27.2000,1.00105511e+04,0.599578,0.000000
28.8000,1.00133962e+04,0.599464,0.000000
30.4000,1.00170027e+04,0.599320,0.000000
32.0000,1.00215708e+04,0.599137,0.000000
33.6000,1.00273511e+04,0.598906,0.000000
35.2000,1.00346562e+04,0.598614,0.000000
36.8000,1.00438736e+04,0.598245,0.000000
38.4000,1.00554802e+04,0.597781,0.000000
40.0000,1.00700578e+04,0.597198,0.000000
41.6000,1.00883067e+04,0.596468,0.000000
43.2000,1.01110565e+04,0.595558,0.000000
44.8000,1.01392673e+04,0.594429,0.000000
46.4000,1.01740147e+04,0.593039,0.000000
48.0000,1.02164481e+04,0.591342,0.000000
49.6000,1.02677061e+04,0.589292,0.000000
51.2000,1.03287723e+04,0.586849,0.000000
52.8000,1.04002553e+04,0.583990,0.000000
54.4000,1.04820850e+04,0.580717,0.000000
56.0000,1.05731449e+04,0.577074,0.000000
57.6000,1.06709102e+04,0.573164,0.000000
59.2000,1.07712304e+04,0.569151,0.000000
60.8000,1.08684709e+04,0.565261,0.000000
62.4000,1.09562253e+04,0.561751,0.000000
64.0000,1.10286616e+04,0.558854,0.000000
65.6000,1.10821893e+04,0.556712,0.000000
67.2000,1.11167000e+04,0.555332,52623.373264
68.8000,1.11355302e+04,0.554579,67022.532098
70.4000,1.11439240e+04,0.554243,85333.931309
72.0000,1.11468621e+04,0.554126,108615.466956
73.6000,1.11476366e+04,0.554095,138213.215274
75.2000,1.11477844e+04,0.554089,175839.503925
76.8000,1.11478042e+04,0.554088,223671.779608
78.4000,1.11478060e+04,0.554088,284478.231928
80.0000,1.11478061e+04,0.554088,361772.522599
