t,c_mean,c_surface,c_bulk,gamma_max,gamma_surface,R_max,R_surface,j_mean
1.70000000e-01,1.00007092e+04,1.00011191e+04,1.00006678e+04,5.99973290e-01,5.99955339e-01,4.32883025e-01,4.32883025e-01,5.78661258e+00
1.75000000e-01,1.00007322e+04,1.00008187e+04,1.00007235e+04,5.99971060e-01,5.99967330e-01,8.88084663e-02,8.88084663e-02,4.46922658e+00
1.80000000e-01,1.00007493e+04,1.00010049e+04,1.00007235e+04,5.99971060e-01,5.99959902e-01,2.68684583e-01,2.68684583e-01,5.58689433e+00
1.85000000e-01,1.00007754e+04,1.00007805e+04,1.00007749e+04,5.99969017e-01,5.99968765e-01,1.19045354e-04,1.19045354e-04,5.32371390e+00
1.90000000e-01,1.00007919e+04,1.00009170e+04,1.00007792e+04,5.99968831e-01,5.99963399e-01,1.29897675e-01,1.29897675e-01,4.57828396e+00
1.95000000e-01,1.00008159e+04,1.00011788e+04,1.00007792e+04,5.99968831e-01,5.99952950e-01,3.82840164e-01,3.82840164e-01,5.89571781e+00
2.00000000e-01,1.00008353e+04,1.00008402e+04,1.00008348e+04,5.99966609e-01,5.99966475e-01,2.12437177e-03,2.12437177e-03,4.77806283e+00
2.05000000e-01,1.00008563e+04,1.00010691e+04,1.00008348e+04,5.99966609e-01,5.99957323e-01,2.23296742e-01,2.23296742e-01,5.04127944e+00
2.10000000e-01,1.00008762e+04,1.00012861e+04,1.00008348e+04,5.99966609e-01,5.99948659e-01,4.32887990e-01,4.32887990e-01,5.78674338e+00
2.15000000e-01,1.00008992e+04,1.00009857e+04,1.00008905e+04,5.99964380e-01,5.99960650e-01,8.88094849e-02,8.88094849e-02,4.46932760e+00
2.20000000e-01,1.00009164e+04,1.00011719e+04,1.00008905e+04,5.99964380e-01,5.99953222e-01,2.68687665e-01,2.68687665e-01,5.58702062e+00
2.25000000e-01,1.00009424e+04,1.00009475e+04,1.00009419e+04,5.99962336e-01,5.99962085e-01,1.19046720e-04,1.19046720e-04,5.32383424e+00
2.30000000e-01,1.00009589e+04,1.00010840e+04,1.00009462e+04,5.99962151e-01,5.99956719e-01,1.29899165e-01,1.29899165e-01,4.57838745e+00
2.35000000e-01,1.00009829e+04,1.00013458e+04,1.00009462e+04,5.99962151e-01,5.99946270e-01,3.82844554e-01,3.82844554e-01,5.89585108e+00
2.40000000e-01,1.00010023e+04,1.00010072e+04,1.00010018e+04,5.99959929e-01,5.99959795e-01,2.12439613e-03,2.12439613e-03,4.77817084e+00
2.45000000e-01,1.00010233e+04,1.00012361e+04,1.00010018e+04,5.99959929e-01,5.99950643e-01,2.23299303e-01,2.23299303e-01,5.04139339e+00
2.50000000e-01,1.00010432e+04,1.00014531e+04,1.00010018e+04,5.99959929e-01,5.99941979e-01,4.32892954e-01,4.32892954e-01,5.78687419e+00
2.55000000e-01,1.00010663e+04,1.00011527e+04,1.00010575e+04,5.99957700e-01,5.99953969e-01,8.88105035e-02,8.88105035e-02,4.46942863e+00
2.60000000e-01,1.00010834e+04,1.00013389e+04,1.00010575e+04,5.99957700e-01,5.99946542e-01,2.68690746e-01,2.68690746e-01,5.58714691e+00
2.65000000e-01,1.00011094e+04,1.00011145e+04,1.00011089e+04,5.99955656e-01,5.99955404e-01,1.19048085e-04,1.19048085e-04,5.32395458e+00
2.70000000e-01,1.00011259e+04,1.00012510e+04,1.00011132e+04,5.99955471e-01,5.99950039e-01,1.29900654e-01,1.29900654e-01,4.57849094e+00
2.75000000e-01,1.00011500e+04,1.00015128e+04,1.00011132e+04,5.99955471e-01,5.99939590e-01,3.82848945e-01,3.82848945e-01,5.89598435e+00
2.80000000e-01,1.00011693e+04,1.00011742e+04,1.00011688e+04,5.99953249e-01,5.99953115e-01,2.12442050e-03,2.12442050e-03,4.77827884e+00
2.85000000e-01,1.00011903e+04,1.00014031e+04,1.00011688e+04,5.99953249e-01,5.99943963e-01,2.23301864e-01,2.23301864e-01,5.04150735e+00
2.90000000e-01,1.00012103e+04,1.00016201e+04,1.00011688e+04,5.99953248e-01,5.99935299e-01,4.32897919e-01,4.32897919e-01,5.78700499e+00
2.95000000e-01,1.00012333e+04,1.00013197e+04,1.00012245e+04,5.99951020e-01,5.99947289e-01,8.88115220e-02,8.88115220e-02,4.46952965e+00
3.00000000e-01,1.00012504e+04,1.00015059e+04,1.00012245e+04,5.99951020e-01,5.99939862e-01,2.68693828e-01,2.68693828e-01,5.58727320e+00
3.05000000e-01,1.00012764e+04,1.00012815e+04,1.00012759e+04,5.99948976e-01,5.99948724e-01,1.19049451e-04,1.19049451e-04,5.32407492e+00
3.10000000e-01,1.00012929e+04,1.00014180e+04,1.00012802e+04,5.99948791e-01,5.99943358e-01,1.29902144e-01,1.29902144e-01,4.57859442e+00
3.15000000e-01,1.00013170e+04,1.00016798e+04,1.00012802e+04,5.99948790e-01,5.99932910e-01,3.82853335e-01,3.82853335e-01,5.89611761e+00
3.20000000e-01,1.00013363e+04,1.00013412e+04,1.00013358e+04,5.99946568e-01,5.99946435e-01,2.12444486e-03,2.12444486e-03,4.77838685e+00
3.25000000e-01,1.00013573e+04,1.00015701e+04,1.00013358e+04,5.99946568e-01,5.99937283e-01,2.23304425e-01,2.23304425e-01,5.04162130e+00
3.30000000e-01,1.00013773e+04,1.00017871e+04,1.00013358e+04,5.99946568e-01,5.99928619e-01,4.32902883e-01,4.32902883e-01,5.78713580e+00
3.35000000e-01,1.00014003e+04,1.00014867e+04,1.00013915e+04,5.99944339e-01,5.99940609e-01,8.88125405e-02,8.88125405e-02,4.46963067e+00
3.40000000e-01,1.00014174e+04,1.00016729e+04,1.00013915e+04,5.99944339e-01,5.99933182e-01,2.68696909e-01,2.68696909e-01,5.58739949e+00
3.45000000e-01,1.00014434e+04,1.00014485e+04,1.00014429e+04,5.99942296e-01,5.99942044e-01,1.19050816e-04,1.19050816e-04,5.32419525e+00
3.50000000e-01,1.00014599e+04,1.00015850e+04,1.00014472e+04,5.99942110e-01,5.99936678e-01,1.29903634e-01,1.29903634e-01,4.57869791e+00
3.55000000e-01,1.00014840e+04,1.00018468e+04,1.00014472e+04,5.99942110e-01,5.99926230e-01,3.82857726e-01,3.82857726e-01,5.89625088e+00
3.60000000e-01,1.00015033e+04,1.00015082e+04,1.00015028e+04,5.99939888e-01,5.99939755e-01,2.12446922e-03,2.12446922e-03,4.77849485e+00
3.65000000e-01,1.00015243e+04,1.00017371e+04,1.00015028e+04,5.99939888e-01,5.99930603e-01,2.23306986e-01,2.23306986e-01,5.04173525e+00
3.70000000e-01,1.00015443e+04,1.00019540e+04,1.00015028e+04,5.99939888e-01,5.99921939e-01,4.32907847e-01,4.32907847e-01,5.78726660e+00
3.75000000e-01,1.00015673e+04,1.00016537e+04,1.00015585e+04,5.99937659e-01,5.99933929e-01,8.88135589e-02,8.88135589e-02,4.46973170e+00
3.80000000e-01,1.00015844e+04,1.00018399e+04,1.00015585e+04,5.99937659e-01,5.99926502e-01,2.68699990e-01,2.68699990e-01,5.58752577e+00
3.85000000e-01,1.00016104e+04,1.00016155e+04,1.00016099e+04,5.99935616e-01,5.99935364e-01,1.19052181e-04,1.19052181e-04,5.32431559e+00
3.90000000e-01,1.00016269e+04,1.00017520e+04,1.00016142e+04,5.99935430e-01,5.99929999e-01,1.29905123e-01,1.29905123e-01,4.57880140e+00
3.95000000e-01,1.00016510e+04,1.00020138e+04,1.00016142e+04,5.99935430e-01,5.99919550e-01,3.82862116e-01,3.82862116e-01,5.89638415e+00
