x_um,c,gamma,R
0.0000,1.00000566e+04,0.599998,0.000000
1.6000,1.00000688e+04,0.599997,0.000000
3.2000,1.00000872e+04,0.599997,0.000000
4.8000,1.00001109e+04,0.599996,0.000000
6.4000,1.00001409e+04,0.599994,0.000000
8.0000,1.00001792e+04,0.599993,0.000000
9.6000,1.00002278e+04,0.599991,0.000000
11.2000,1.00002896e+04,0.599988,0.000000
12.8000,1.00003681e+04,0.599985,0.000000
14.4000,1.00004680e+04,0.599981,0.000000
16.0000,1.00005949e+04,0.599976,0.000000
17.6000,1.00007563e+04,0.599970,0.000000
19.2000,1.00009614e+04,0.599962,0.000000
20.8000,1.00012221e+04,0.599951,0.000000
22.4000,1.00015536e+04,0.599938,0.000000
24.0000,1.00019750e+04,0.599921,0.000000
25.6000,1.00025107e+04,0.599900,0.000000
27.2000,1.00031916e+04,0.599872,0.000000
28.8000,1.00040571e+04,0.599838,0.000000
30.4000,1.00051574e+04,0.599794,0.000000
32.0000,1.00065559e+04,0.599738,0.000000
33.6000,1.00083336e+04,0.599667,0.000000
35.2000,1.00105930e+04,0.599576,0.000000
36.8000,1.00134647e+04,0.599461,0.000000
38.4000,1.00171143e+04,0.599315,0.000000
40.0000,1.00217522e+04,0.599130,0.000000
41.6000,1.00276454e+04,0.598894,0.000000
43.2000,1.00351328e+04,0.598595,0.000000
44.8000,1.00446442e+04,0.598214,0.000000
46.4000,1.00567243e+04,0.597731,0.000000
48.0000,1.00720628e+04,0.597117,0.000000
49.6000,1.00915324e+04,0.596339,0.000000
51.2000,1.01162355e+04,0.595351,0.000000
52.8000,1.01475626e+04,0.594097,0.000000
54.4000,1.01872634e+04,0.592509,0.000000
56.0000,1.02375335e+04,0.590499,0.000000
57.6000,1.03011177e+04,0.587955,0.000000
59.2000,1.03814314e+04,0.584743,0.000000
60.8000,1.04826978e+04,0.580692,0.000000
62.4000,1.06100960e+04,0.575596,0.000000
64.0000,1.07699080e+04,0.569204,0.000000
65.6000,1.09696415e+04,0.561214,0.000000
67.2000,1.12180866e+04,0.551277,0.000000
68.8000,1.15252377e+04,0.538990,1645.792820
70.4000,1.19019740e+04,0.523921,2112.935463
72.0000,1.23593353e+04,0.505627,2715.994437
73.6000,1.29071786e+04,0.483713,3494.344508
75.2000,1.35519241e+04,0.457923,4497.091580
76.8000,1.42925962e+04,0.428296,5783.607923
78.4000,1.51062693e+04,0.395749,7422.588361
80.0000,1.58223605e+04,0.367106,9491.155946
