x_um,c,gamma,R
0.0000,1.00004955e+04,0.599980,0.000000
1.6000,1.00005157e+04,0.599979,0.000000
3.2000,1.00005749e+04,0.599977,0.000000
4.8000,1.00006747e+04,0.599973,0.000000
6.4000,1.00008190e+04,0.599967,0.000000
8.0000,1.00010149e+04,0.599959,0.000000
9.6000,1.00012725e+04,0.599949,0.000000
11.2000,1.00016056e+04,0.599936,0.000000
12.8000,1.00020328e+04,0.599919,0.000000
14.4000,1.00025780e+04,0.599897,0.000000
16.0000,1.00032719e+04,0.599869,0.000000
17.6000,1.00041535e+04,0.599834,0.000000
19.2000,1.00052725e+04,0.599789,0.000000
20.8000,1.00066915e+04,0.599732,0.000000
22.4000,1.00084892e+04,0.599660,0.000000
24.0000,1.00107646e+04,0.599569,0.000000
25.6000,1.00136412e+04,0.599454,0.000000
27.2000,1.00172725e+04,0.599309,0.000000
28.8000,1.00218486e+04,0.599126,0.000000
30.4000,1.00276027e+04,0.598896,0.000000
32.0000,1.00348188e+04,0.598607,0.000000
33.6000,1.00438394e+04,0.598246,0.000000
35.2000,1.00550716e+04,0.597797,0.000000
36.8000,1.00689918e+04,0.597240,0.000000
38.4000,1.00861464e+04,0.596554,0.000000
40.0000,1.01071463e+04,0.595714,0.000000
41.6000,1.01326514e+04,0.594694,0.000000
43.2000,1.01633438e+04,0.593466,0.000000
44.8000,1.01998842e+04,0.592005,0.000000
46.4000,1.02428507e+04,0.590286,0.000000
48.0000,1.02926596e+04,0.588294,0.000000
49.6000,1.03494699e+04,0.586021,0.000000
51.2000,1.04130818e+04,0.583477,0.000000
52.8000,1.04828409e+04,0.580686,0.000000
54.4000,1.05575694e+04,0.577697,0.000000
56.0000,1.06355458e+04,0.574578,0.000000
57.6000,1.07145588e+04,0.571418,0.000000
59.2000,1.07920470e+04,0.568318,0.000000
60.8000,1.08653276e+04,0.565387,0.000000
62.4000,1.09318893e+04,0.562724,0.000000
64.0000,1.09897050e+04,0.560412,0.000000
65.6000,1.10374988e+04,0.558500,0.000000
67.2000,1.10749027e+04,0.557004,52603.054268
68.8000,1.11024556e+04,0.555902,66991.324724
70.4000,1.11214384e+04,0.555142,85294.895211
72.0000,1.11335848e+04,0.554657,108572.839139
73.6000,1.11407469e+04,0.554370,138170.928775
75.2000,1.11446039e+04,0.554216,175799.625853
76.8000,1.11464767e+04,0.554141,223632.424489
78.4000,1.11472679e+04,0.554109,284427.496014
80.0000,1.11474876e+04,0.554100,361667.252979
