x_um,c,gamma,R
0.0000,1.00002172e+04,0.599991,0.000000
1.6000,1.00002428e+04,0.599990,0.000000
3.2000,1.00002982e+04,0.599988,0.000000
4.8000,1.00003764e+04,0.599985,0.000000
6.4000,1.00004778e+04,0.599981,0.000000
8.0000,1.00006073e+04,0.599976,0.000000
9.6000,1.00007719e+04,0.599969,0.000000
11.2000,1.00009812e+04,0.599961,0.000000
12.8000,1.00012472e+04,0.599950,0.000000
14.4000,1.00015852e+04,0.599937,0.000000
16.0000,1.00020148e+04,0.599919,0.000000
17.6000,1.00025607e+04,0.599898,0.000000
19.2000,1.00032542e+04,0.599870,0.000000
20.8000,1.00041353e+04,0.599835,0.000000
22.4000,1.00052543e+04,0.599790,0.000000
24.0000,1.00066753e+04,0.599733,0.000000
25.6000,1.00084790e+04,0.599661,0.000000
27.2000,1.00107677e+04,0.599569,0.000000
28.8000,1.00136703e+04,0.599453,0.000000
30.4000,1.00173492e+04,0.599306,0.000000
32.0000,1.00220080e+04,0.599120,0.000000
33.6000,1.00279019e+04,0.598884,0.000000
35.2000,1.00353483e+04,0.598586,0.000000
36.8000,1.00447404e+04,0.598210,0.000000
38.4000,1.00565616e+04,0.597738,0.000000
40.0000,1.00713996e+04,0.597144,0.000000
41.6000,1.00899607e+04,0.596402,0.000000
43.2000,1.01130779e+04,0.595477,0.000000
44.8000,1.01417106e+04,0.594332,0.000000
46.4000,1.01769261e+04,0.592923,0.000000
48.0000,1.02198535e+04,0.591206,0.000000
49.6000,1.02715934e+04,0.589136,0.000000
51.2000,1.03330689e+04,0.586677,0.000000
52.8000,1.04048015e+04,0.583808,0.000000
54.4000,1.04866121e+04,0.580536,0.000000
56.0000,1.05772696e+04,0.576909,0.000000
57.6000,1.06741654e+04,0.573033,0.000000
59.2000,1.07731519e+04,0.569074,0.000000
60.8000,1.08687418e+04,0.565250,0.000000
62.4000,1.09548431e+04,0.561806,0.000000
64.0000,1.10260371e+04,0.558959,0.000000
65.6000,1.10790716e+04,0.556837,0.000000
67.2000,1.11138972e+04,0.555444,52622.053108
68.8000,1.11335630e+04,0.554657,67020.630656
70.4000,1.11428544e+04,0.554286,85331.755737
72.0000,1.11464219e+04,0.554143,108613.344918
73.6000,1.11475033e+04,0.554100,138211.363564
75.2000,1.11477554e+04,0.554090,175837.990978
76.8000,1.11477997e+04,0.554088,223670.555906
78.4000,1.11478055e+04,0.554088,284476.888817
80.0000,1.11478061e+04,0.554088,361766.202781
