x_um,c,gamma,R
0.0000,1.00003142e+04,0.599987,0.000000
1.6000,1.00003322e+04,0.599987,0.000000
3.2000,1.00003821e+04,0.599985,0.000000
4.8000,1.00004624e+04,0.599982,0.000000
6.4000,1.00005748e+04,0.599977,0.000000
8.0000,1.00007237e+04,0.599971,0.000000
9.6000,1.00009163e+04,0.599963,0.000000
11.2000,1.00011630e+04,0.599953,0.000000
12.8000,1.00014773e+04,0.599941,0.000000
14.4000,1.00018773e+04,0.599925,0.000000
16.0000,1.00023856e+04,0.599905,0.000000
17.6000,1.00030314e+04,0.599879,0.000000
19.2000,1.00038518e+04,0.599846,0.000000
20.8000,1.00048936e+04,0.599804,0.000000
22.4000,1.00062160e+04,0.599751,0.000000
24.0000,1.00078942e+04,0.599684,0.000000
25.6000,1.00100228e+04,0.599599,0.000000
27.2000,1.00127210e+04,0.599491,0.000000
28.8000,1.00161385e+04,0.599354,0.000000
30.4000,1.00204629e+04,0.599181,0.000000
32.0000,1.00259281e+04,0.598963,0.000000
33.6000,1.00328240e+04,0.598687,0.000000
35.2000,1.00415081e+04,0.598340,0.000000
36.8000,1.00524165e+04,0.597903,0.000000
38.4000,1.00660760e+04,0.597357,0.000000
40.0000,1.00831127e+04,0.596675,0.000000
41.6000,1.01042567e+04,0.595830,0.000000
43.2000,1.01303366e+04,0.594787,0.000000
44.8000,1.01622586e+04,0.593510,0.000000
46.4000,1.02009621e+04,0.591962,0.000000
48.0000,1.02473430e+04,0.590106,0.000000
49.6000,1.03021356e+04,0.587915,0.000000
51.2000,1.03657511e+04,0.585370,0.000000
52.8000,1.04380777e+04,0.582477,0.000000
54.4000,1.05182678e+04,0.579269,0.000000
56.0000,1.06045577e+04,0.575818,0.000000
57.6000,1.06941921e+04,0.572232,0.000000
59.2000,1.07835305e+04,0.568659,0.000000
60.8000,1.08683965e+04,0.565264,0.000000
62.4000,1.09446667e+04,0.562213,0.000000
64.0000,1.10089947e+04,0.559640,0.000000
65.6000,1.10594699e+04,0.557621,0.000000
67.2000,1.10959715e+04,0.556161,52613.379265
68.8000,1.11200566e+04,0.555198,67007.744248
70.4000,1.11344041e+04,0.554624,85316.276083
72.0000,1.11420347e+04,0.554319,108597.284661
73.6000,1.11456164e+04,0.554175,138196.405648
75.2000,1.11470828e+04,0.554117,175824.935520
76.8000,1.11476000e+04,0.554096,223658.743651
78.4000,1.11477539e+04,0.554090,284461.476462
80.0000,1.11477856e+04,0.554089,361725.040673
