x_um,c,gamma,R
0.0000,1.00000599e+04,0.599998,0.000000
1.6000,1.00000701e+04,0.599997,0.000000
3.2000,1.00000882e+04,0.599996,0.000000
4.8000,1.00001119e+04,0.599996,0.000000
6.4000,1.00001423e+04,0.599994,0.000000
8.0000,1.00001809e+04,0.599993,0.000000
9.6000,1.00002300e+04,0.599991,0.000000
11.2000,1.00002923e+04,0.599988,0.000000
12.8000,1.00003716e+04,0.599985,0.000000
14.4000,1.00004724e+04,0.599981,0.000000
16.0000,1.00006006e+04,0.599976,0.000000
17.6000,1.00007635e+04,0.599969,0.000000
19.2000,1.00009706e+04,0.599961,0.000000
20.8000,1.00012338e+04,0.599951,0.000000
22.4000,1.00015685e+04,0.599937,0.000000
24.0000,1.00019939e+04,0.599920,0.000000
25.6000,1.00025347e+04,0.599899,0.000000
27.2000,1.00032221e+04,0.599871,0.000000
28.8000,1.00040960e+04,0.599836,0.000000
30.4000,1.00052068e+04,0.599792,0.000000
32.0000,1.00066187e+04,0.599735,0.000000
33.6000,1.00084133e+04,0.599663,0.000000
35.2000,1.00106944e+04,0.599572,0.000000
36.8000,1.00135935e+04,0.599456,0.000000
38.4000,1.00172779e+04,0.599309,0.000000
40.0000,1.00219600e+04,0.599122,0.000000
41.6000,1.00279094e+04,0.598884,0.000000
43.2000,1.00354681e+04,0.598581,0.000000
44.8000,1.00450698e+04,0.598197,0.000000
46.4000,1.00572643e+04,0.597709,0.000000
48.0000,1.00727477e+04,0.597090,0.000000
49.6000,1.00924006e+04,0.596304,0.000000
51.2000,1.01173352e+04,0.595307,0.000000
52.8000,1.01489540e+04,0.594042,0.000000
54.4000,1.01890216e+04,0.592439,0.000000
56.0000,1.02397514e+04,0.590410,0.000000
57.6000,1.03039098e+04,0.587844,0.000000
59.2000,1.03849369e+04,0.584603,0.000000
60.8000,1.04870836e+04,0.580517,0.000000
62.4000,1.06155587e+04,0.575378,0.000000
64.0000,1.07766728e+04,0.568933,0.000000
65.6000,1.09779563e+04,0.560882,0.000000
67.2000,1.12282069e+04,0.550872,0.000000
68.8000,1.15373981e+04,0.538504,1646.147155
70.4000,1.19163372e+04,0.523347,2113.435488
72.0000,1.23759085e+04,0.504964,2716.669081
73.6000,1.29256393e+04,0.482974,3495.197150
75.2000,1.35709052e+04,0.457164,4498.056078
76.8000,1.43051885e+04,0.427792,5784.421664
78.4000,1.50771133e+04,0.396915,7422.579575
80.0000,1.56455529e+04,0.374178,9490.209581
