x_um,c,gamma,R
0.0000,1.00045382e+04,0.599818,0.000000
1.6000,1.00047227e+04,0.599811,0.000000
3.2000,1.00052654e+04,0.599789,0.000000
4.8000,1.00061791e+04,0.599753,0.000000
6.4000,1.00075012e+04,0.599700,0.000000
8.0000,1.00092952e+04,0.599628,0.000000
9.6000,1.00116543e+04,0.599534,0.000000
11.2000,1.00147061e+04,0.599412,0.000000
12.8000,1.00186197e+04,0.599255,0.000000
14.4000,1.00236143e+04,0.599055,0.000000
16.0000,1.00299718e+04,0.598801,0.000000
17.6000,1.00380508e+04,0.598478,0.000000
19.2000,1.00483068e+04,0.598068,0.000000
20.8000,1.00613148e+04,0.597547,0.000000
22.4000,1.00777995e+04,0.596888,0.000000
24.0000,1.00986705e+04,0.596053,0.000000
25.6000,1.01250654e+04,0.594997,0.000000
27.2000,1.01584007e+04,0.593664,0.000000
28.8000,1.02004302e+04,0.591983,0.000000
30.4000,1.02533112e+04,0.589868,0.000000
32.0000,1.03196743e+04,0.587213,0.000000
33.6000,1.04026942e+04,0.583892,0.000000
35.2000,1.05061515e+04,0.579754,0.000000
36.8000,1.06344745e+04,0.574621,0.000000
38.4000,1.07927414e+04,0.568290,0.000000
40.0000,1.09866197e+04,0.560535,0.000000
41.6000,1.12222100e+04,0.551112,0.000000
43.2000,1.15057606e+04,0.539770,0.000000
44.8000,1.18432182e+04,0.526271,0.000000
46.4000,1.22395884e+04,0.510416,0.000000
48.0000,1.26981052e+04,0.492076,0.000000
49.6000,1.32192479e+04,0.471230,0.000000
51.2000,1.37997006e+04,0.448012,0.000000
52.8000,1.44314242e+04,0.422743,0.000000
54.4000,1.51010795e+04,0.395957,0.000000
56.0000,1.57900801e+04,0.368397,0.000000
57.6000,1.64755281e+04,0.340979,0.000000
59.2000,1.71321577e+04,0.314714,0.000000
60.8000,1.77351701e+04,0.290593,0.000000
62.4000,1.82635276e+04,0.269459,0.000000
64.0000,1.87029968e+04,0.251880,0.000000
65.6000,1.90481333e+04,0.238075,0.000000
67.2000,1.93025919e+04,0.227896,0.000000
68.8000,1.94776234e+04,0.220895,47822.327029
70.4000,1.95891971e+04,0.216432,59548.777228
72.0000,1.96546228e+04,0.213815,74336.610456
73.6000,1.96896291e+04,0.212415,93075.923921
75.2000,1.97065642e+04,0.211737,116894.946223
76.8000,1.97138853e+04,0.211445,147228.291715
78.4000,1.97166321e+04,0.211335,185944.722051
80.0000,1.97173257e+04,0.211307,235659.718101
