x_um,c,gamma,R
0.0000,1.00019893e+04,0.599920,0.000000
1.6000,1.00022232e+04,0.599911,0.000000
3.2000,1.00027313e+04,0.599891,0.000000
4.8000,1.00034468e+04,0.599862,0.000000
6.4000,1.00043757e+04,0.599825,0.000000
8.0000,1.00055612e+04,0.599778,0.000000
9.6000,1.00070690e+04,0.599717,0.000000
11.2000,1.00089856e+04,0.599641,0.000000
12.8000,1.00114217e+04,0.599543,0.000000
14.4000,1.00145178e+04,0.599419,0.000000
16.0000,1.00184524e+04,0.599262,0.000000
17.6000,1.00234523e+04,0.599062,0.000000
19.2000,1.00298051e+04,0.598808,0.000000
20.8000,1.00378759e+04,0.598485,0.000000
22.4000,1.00481273e+04,0.598075,0.000000
24.0000,1.00611456e+04,0.597554,0.000000
25.6000,1.00776728e+04,0.596893,0.000000
27.2000,1.00986472e+04,0.596054,0.000000
28.8000,1.01252528e+04,0.594990,0.000000
30.4000,1.01589817e+04,0.593641,0.000000
32.0000,1.02017087e+04,0.591932,0.000000
33.6000,1.02557824e+04,0.589769,0.000000
35.2000,1.03241324e+04,0.587035,0.000000
36.8000,1.04103931e+04,0.583584,0.000000
38.4000,1.05190411e+04,0.579238,0.000000
40.0000,1.06555387e+04,0.573778,0.000000
41.6000,1.08264673e+04,0.566941,0.000000
43.2000,1.10396202e+04,0.558415,0.000000
44.8000,1.13040076e+04,0.547840,0.000000
46.4000,1.16296896e+04,0.534812,0.000000
48.0000,1.20273182e+04,0.518907,0.000000
49.6000,1.25072163e+04,0.499711,0.000000
51.2000,1.30777784e+04,0.476889,0.000000
52.8000,1.37429790e+04,0.450281,0.000000
54.4000,1.44989015e+04,0.420044,0.000000
56.0000,1.53295887e+04,0.386816,0.000000
57.6000,1.62033216e+04,0.351867,0.000000
59.2000,1.70716024e+04,0.317136,0.000000
60.8000,1.78739684e+04,0.285041,0.000000
62.4000,1.85506667e+04,0.257973,0.000000
64.0000,1.90606875e+04,0.237573,0.000000
65.6000,1.93964365e+04,0.224143,0.000000
67.2000,1.95848252e+04,0.216607,0.000000
68.8000,1.96726048e+04,0.213096,0.000000
70.4000,1.97056514e+04,0.211774,58842.006156
72.0000,1.97154314e+04,0.211383,73630.907021
73.6000,1.97176510e+04,0.211294,92428.082962
75.2000,1.97180301e+04,0.211279,116328.202301
76.8000,1.97180783e+04,0.211277,146716.729143
78.4000,1.97180829e+04,0.211277,185357.415334
80.0000,1.97180832e+04,0.211277,234593.835135
