r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
2.23128390e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.04866010e-14,0.14210610,0.00000000
2.21632144e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.15129221e-14,0.14210610,0.00000000
2.20135897e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.25672509e-14,0.14210610,0.00000000
2.18639651e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.36505494e-14,0.14210610,0.00000000
2.17143404e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.47638195e-14,0.14210610,0.00000000
2.15647158e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.59081049e-14,0.14210610,0.00000000
2.14150912e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.70844934e-14,0.14210610,0.00000000
2.12654665e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.82941186e-14,0.14210610,0.00000000
2.11158419e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.95381627e-14,0.14210610,0.00000000
2.09662173e+05,1.00000000,999999.99997124,1.00000000,0.00100000,6.08178587e-14,0.14210610,0.00000000
2.08165926e+05,1.00000000,999999.99997124,1.00000000,0.00100000,6.21344929e-14,0.14210610,0.00000000
2.06669680e+05,1.00000000,999999.99997124,1.00000000,0.00100000,6.34894077e-14,0.14210610,0.00000000
2.05173434e+05,1.00000000,999999.99997124,1.00000000,0.00100000,6.48840046e-14,0.14210610,0.00000000
2.03677187e+05,1.00000000,999999.99997124,1.00000000,0.00100000,8.28996839e-14,0.11052697,0.00000000
2.02180941e+05,1.00000000,999999.99997124,1.00000000,0.00100000,8.47477047e-14,0.11052697,0.00000000
2.00684694e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.03981278e-13,0.09043116,0.00000000
1.99188448e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.06334222e-13,0.09043116,0.00000000
1.97692202e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.08758696e-13,0.09043116,0.00000000
1.96195955e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.11257440e-13,0.09043116,0.00000000
1.94699709e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.13833319e-13,0.09043116,0.00000000
1.93203463e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.16489333e-13,0.09043116,0.00000000
1.91707216e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.19228623e-13,0.09043116,0.00000000
1.90210970e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.01712064e-13,0.11052697,0.00000000
1.88714724e+05,1.00000000,999999.99997124,1.00000000,0.00100000,8.33135614e-14,0.14210610,0.00000000
1.87218477e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.06649860e-13,0.11052697,0.00000000
1.85722231e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.09238945e-13,0.11052697,0.00000000
1.84225984e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.11912517e-13,0.11052697,0.00000000
1.82729738e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.14674053e-13,0.11052697,0.00000000
1.81233492e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.17527198e-13,0.11052697,0.00000000
1.79737245e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.20475784e-13,0.11052697,0.00000000
1.78240999e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.72933369e-13,0.07651867,0.00000000
1.76744753e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.52010696e-13,0.09043116,0.00000000
1.75248506e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.55922561e-13,0.09043116,0.00000000
1.73752260e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.59969811e-13,0.09043116,0.00000000
1.72256014e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.64158352e-13,0.09043116,0.00000000
1.70759767e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.68494406e-13,0.09043116,0.00000000
1.69263521e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.72984524e-13,0.09043116,0.00000000
1.67767274e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.77635608e-13,0.09043116,0.00000000
1.66271028e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.52045782e-13,0.11052697,0.00000000
1.64774782e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.87450192e-13,0.09043116,0.00000000
1.63278535e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.92629468e-13,0.09043116,0.00000000
1.61782289e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.31001541e-13,0.07651867,0.00000000
1.60286043e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.37503916e-13,0.07651867,0.00000000
1.58789796e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.44252642e-13,0.07651867,0.00000000
1.57293550e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.51259498e-13,0.07651867,0.00000000
1.55797304e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.95470793e-13,0.06631618,0.00000000
1.54301057e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.42126217e-13,0.05851428,0.00000000
1.52804811e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.52230611e-13,0.05851428,0.00000000
1.51308564e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.62736853e-13,0.05851428,0.00000000
1.49812318e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.32146774e-13,0.06631618,0.00000000
1.48316072e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.99473081e-13,0.07651867,0.00000000
1.46819825e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.08680298e-13,0.07651867,0.00000000
1.45323579e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.18268847e-13,0.07651867,0.00000000
1.43827333e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.28258676e-13,0.07651867,0.00000000
1.42331086e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.38671000e-13,0.07651867,0.00000000
1.40834840e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.99461018e-13,0.06631618,0.00000000
1.39338594e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.12405584e-13,0.06631618,0.00000000
1.37842347e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.72676096e-13,0.07651867,0.00000000
1.36346101e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.85019329e-13,0.07651867,0.00000000
1.34849854e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.97913722e-13,0.07651867,0.00000000
1.33353608e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.70160440e-13,0.06631618,0.00000000
1.31857362e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.25482559e-13,0.07651867,0.00000000
1.30361115e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.77336390e-13,0.09043116,0.00000000
1.28864869e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.90564095e-13,0.09043116,0.00000000
1.27368623e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.04417367e-13,0.09043116,0.00000000
1.25872376e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.18933628e-13,0.09043116,0.00000000
1.24376130e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.78870691e-13,0.06631618,0.00000000
1.22879884e+05,1.00000000,999999.99997124,1.00000000,0.00100000,6.00158175e-13,0.06631618,0.00000000
1.21383637e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.44689563e-13,0.07651867,0.00000000
1.19887391e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.84477222e-13,0.09043116,0.00000000
1.18391145e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.02973585e-13,0.09043116,0.00000000
1.16894898e+05,1.00000000,999999.99997124,1.00000000,0.00100000,6.09494197e-13,0.07651867,0.00000000
1.15398652e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.42889519e-13,0.09043116,0.00000000
1.13902405e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.70365464e-13,0.11052697,0.00000000
1.12406159e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.89286099e-13,0.11052697,0.00000000
1.10909913e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.09235281e-13,0.11052697,0.00000000
1.09413666e+05,1.00000000,999999.99997124,1.00000000,0.00100000,6.36340633e-13,0.09043116,0.00000000
1.07917420e+05,1.00000000,999999.99997124,1.00000000,0.00100000,6.63010356e-13,0.09043116,0.00000000
1.06421174e+05,1.00000000,999999.99997124,1.00000000,0.00100000,8.06390067e-13,0.07651867,0.00000000
1.04924927e+05,1.00000000,999999.99997124,1.00000000,0.00100000,9.61323501e-13,0.06631618,0.00000000
1.03428681e+05,1.00000000,999999.99997124,1.00000000,0.00100000,8.77953856e-13,0.07651867,0.00000000
1.01932435e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.17890674e-12,0.05851428,0.00000000
1.00436188e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.23202597e-12,0.05851428,0.00000000
9.89399418e+04,1.00000000,999999.99997124,1.00000000,0.00100000,1.14523111e-12,0.06631618,0.00000000
9.74436954e+04,1.00000000,999999.99997124,1.00000000,0.00100000,1.49803849e-12,0.05235488,0.00000000
9.59474491e+04,1.00000000,999999.99997124,1.00000000,0.00100000,1.56872154e-12,0.05235488,0.00000000
9.44512027e+04,1.00000000,999999.99997124,1.00000000,0.00100000,1.80831445e-12,0.04736870,0.00000000
9.29549563e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.06880881e-12,0.04324968,0.00000000
9.14587100e+04,1.00000000,999999.99997124,1.00000000,0.00100000,1.80937998e-12,0.05235488,0.00000000
8.99624636e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.28058056e-12,0.04324968,0.00000000
8.84662173e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.39736952e-12,0.04324968,0.00000000
8.69699709e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.31208170e-12,0.04736870,0.00000000
8.54737245e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.43466815e-12,0.04736870,0.00000000
8.39774782e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.56607609e-12,0.04736870,0.00000000
8.24812318e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.70711349e-12,0.04736870,0.00000000
8.09849854e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.59879893e-12,0.05235488,0.00000000
7.94887391e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.74706641e-12,0.05235488,0.00000000
7.79924927e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.61614744e-12,0.05851428,0.00000000
7.64962464e+04,1.00000000,999999.99997124,1.00000000,0.00100000,2.46338194e-12,0.06631618,0.00000000
7.50000000e+04,1.00000000,999999.99997124,1.00000000,0.00100000,1.95931856e-12,0.09043116,0.00000000
