r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
1.49990855e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.67476659e-07,0.14157182,0.00000000
1.47031858e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.77788082e-07,0.14157182,0.00000000
1.44072861e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.88963669e-07,0.14157182,0.00000000
1.41113864e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.01095878e-07,0.14157182,0.00000000
1.38154867e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.14289295e-07,0.14157182,0.00000000
1.35195870e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.42993803e-07,0.09009116,0.00000000
1.32236873e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.66525730e-07,0.09009116,0.00000000
1.29277876e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.92260457e-07,0.09009116,0.00000000
1.26318879e+03,1.00000000,999999.99997124,1.00000000,0.00100000,4.90538868e-07,0.07623098,0.00000000
1.23359882e+03,1.00000000,999999.99997124,1.00000000,0.00100000,6.77149190e-07,0.05829428,0.00000000
1.20400885e+03,1.00000000,999999.99997124,1.00000000,0.00100000,8.09202764e-07,0.05215804,0.00000000
1.17441888e+03,1.00000000,999999.99997124,1.00000000,0.00100000,8.71884900e-07,0.05215804,0.00000000
1.14482891e+03,1.00000000,999999.99997124,1.00000000,0.00100000,8.47090616e-07,0.05829428,0.00000000
1.11523894e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.01808780e-06,0.05215804,0.00000000
1.08564897e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.32428288e-06,0.04308708,0.00000000
1.05605900e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.55856241e-06,0.03964011,0.00000000
1.02646903e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.82773059e-06,0.03670381,0.00000000
9.96879056e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.71021386e-06,0.04308708,0.00000000
9.67289086e+02,1.00000000,999999.99997124,1.00000000,0.00100000,2.02789025e-06,0.03964011,0.00000000
9.37699115e+02,1.00000000,999999.99997124,1.00000000,0.00100000,2.05462405e-06,0.04308708,0.00000000
9.08109145e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.88493914e-06,0.05215804,0.00000000
8.78519174e+02,1.00000000,999999.99997124,1.00000000,0.00100000,2.08173553e-06,0.05215804,0.00000000
8.48929204e+02,1.00000000,999999.99997124,1.00000000,0.00100000,2.30690883e-06,0.05215804,0.00000000
8.19339233e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.79603468e-06,0.07623098,0.00000000
7.89749263e+02,1.00000000,999999.99997124,1.00000000,0.00100000,2.00538886e-06,0.07623098,0.00000000
7.60159292e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.92736023e-06,0.09009116,0.00000000
7.30569322e+02,1.00000000,999999.99997124,1.00000000,0.00100000,2.89457578e-06,0.06606685,0.00000000
7.00979351e+02,1.00000000,999999.99997124,1.00000000,0.00100000,4.09556115e-06,0.05215804,0.00000000
6.71389381e+02,1.00000000,999999.99997124,1.00000000,0.00100000,4.19462981e-06,0.05829428,0.00000000
6.41799410e+02,1.00000000,999999.99997124,1.00000000,0.00100000,5.33478604e-06,0.05215804,0.00000000
6.12209440e+02,1.00000000,999999.99997124,1.00000000,0.00100000,7.37446952e-06,0.04308708,0.00000000
5.82619469e+02,1.00000000,999999.99997124,1.00000000,0.00100000,9.26757267e-06,0.03964011,0.00000000
5.53029499e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.00007900e-05,0.04308708,0.00000000
5.23439528e+02,1.00000001,999999.99997124,1.00000000,0.00100000,1.47401190e-05,0.03417251,0.00000000
4.93849558e+02,1.00000001,999999.99997124,1.00000000,0.00100000,1.93023381e-05,0.03003039,0.00000000
4.64259587e+02,1.00000001,999999.99997124,1.00000000,0.00100000,2.67466255e-05,0.02678386,0.00000000
4.34669617e+02,1.00000001,999999.99997124,1.00000000,0.00100000,3.77238227e-05,0.02304658,0.00000000
4.05079646e+02,1.00000001,999999.99997124,1.00000000,0.00100000,4.23578453e-05,0.02541033,0.00000000
3.75489676e+02,1.00000001,999999.99997124,1.00000000,0.00100000,6.11350510e-05,0.02202228,0.00000001
3.45899705e+02,1.00000002,999999.99997124,1.00000000,0.00100000,8.49666233e-05,0.02022455,0.00000001
3.16309735e+02,1.00000002,999999.99997124,0.99999999,0.00100000,1.15494198e-04,0.01943143,0.00000001
2.86719764e+02,1.00000003,999999.99997124,0.99999999,0.00100000,2.02650533e-04,0.01479109,0.00000002
2.57129794e+02,1.00000004,999999.99997124,0.99999999,0.00100000,2.55975532e-04,0.01624595,0.00000003
2.27539823e+02,1.00000006,999999.99997124,0.99999998,0.00100000,3.74967987e-04,0.01573020,0.00000004
1.97949853e+02,1.00000009,999999.99997124,0.99999997,0.00100000,6.31959947e-04,0.01436236,0.00000006
1.68359882e+02,1.00000015,999999.99997124,0.99999994,0.00100000,1.25971208e-03,0.01165886,0.00000013
1.38769912e+02,1.00000026,999999.99997124,0.99999986,0.00100000,2.89621263e-03,0.00892795,0.00000029
1.09179941e+02,1.00000053,999999.99997124,0.99999967,0.00100000,6.51084709e-03,0.00819013,0.00000065
7.95899705e+01,1.00000136,999999.99997124,0.99999869,0.00100000,2.61353371e-02,0.00518855,0.00000261
5.00000000e+01,1.00000542,999999.99997124,0.99999554,0.00100000,8.91896505e-02,0.00608007,0.00000892
