r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
3.20121029e+09,1.00000000,12.73848440,1.00000000,0.28018257,2.20062019e-22,0.00716926,0.00000000
3.20457094e+09,1.00000000,12.58357771,1.00000000,0.28190185,2.07304800e-22,0.00761387,0.00000000
3.20793160e+09,1.00000000,12.43270622,1.00000000,0.28360714,2.04115496e-22,0.00773377,0.00000000
3.21129225e+09,1.00000000,12.28571429,1.00000000,0.28529870,2.04115496e-22,0.00773377,0.00000000
3.21465291e+09,1.00000000,12.14245416,1.00000000,0.28697678,1.88168973e-22,0.00839478,0.00000000
3.21801356e+09,1.00000000,12.00278552,1.00000000,0.28864164,1.81790363e-22,0.00869194,0.00000000
3.22137422e+09,1.00000000,11.86657497,1.00000000,0.29029350,1.75411754e-22,0.00901091,0.00000000
3.22473487e+09,1.00000000,11.73369565,1.00000000,0.29193260,1.62654536e-22,0.00972464,0.00000000
3.22809553e+09,1.00000000,11.60402685,1.00000000,0.29355916,1.62654536e-22,0.00972464,0.00000000
3.23145618e+09,1.00000000,11.47745358,1.00000000,0.29517341,1.59465231e-22,0.00992110,0.00000000
3.23481684e+09,1.00000000,11.35386632,1.00000000,0.29677555,1.49897317e-22,0.01056117,0.00000000
3.23817749e+09,1.00000000,11.23316062,1.00000000,0.29836578,1.46708013e-22,0.01079328,0.00000000
3.24153815e+09,1.00000000,11.11523688,1.00000000,0.29994432,1.33950794e-22,0.01183360,0.00000000
3.24489880e+09,1.00000000,11.00000000,1.00000000,0.30151134,1.14814966e-22,0.01383364,0.00000000
